Time Stamp, Noise Level, Humidity, Temperature (*C)
2/21 18:55:31,25.14,38.00,18.00
2/21 18:55:32,25.78,38.00,18.00
2/21 18:55:33,24.81,38.00,18.00
2/21 18:55:34,25.14,38.00,18.00
2/21 18:55:35,25.14,38.00,18.00
2/21 18:55:36,25.14,38.00,18.00
2/21 18:55:38,25.14,38.00,18.00
2/21 18:55:39,25.14,38.00,18.00
2/21 18:55:40,24.49,38.00,18.00
2/21 18:55:41,25.14,38.00,18.00
2/21 18:55:42,25.46,38.00,18.00
2/21 18:55:43,25.46,38.00,18.00
2/21 18:55:44,25.46,38.00,18.00
2/21 18:55:45,25.14,38.00,18.00
2/21 18:55:46,25.46,38.00,18.00
2/21 18:55:47,25.14,38.00,18.00
2/21 18:55:48,25.14,38.00,18.00
2/21 18:55:50,25.46,38.00,18.00
2/21 18:55:51,25.78,38.00,18.00
2/21 18:55:52,25.46,38.00,18.00
2/21 18:55:53,25.78,38.00,18.00
2/21 18:55:54,25.14,38.00,18.00
2/21 18:55:55,24.81,38.00,18.00
2/21 18:55:57,25.46,38.00,18.00
2/21 18:55:58,25.46,38.00,18.00
2/21 18:55:59,24.81,38.00,18.00
2/21 18:56:0,25.14,38.00,18.00
2/21 18:56:1,25.14,38.00,18.00
2/21 18:56:2,25.14,38.00,18.00
2/21 18:56:4,25.78,38.00,18.00
2/21 18:56:5,25.14,38.00,18.00
2/21 18:56:6,25.78,38.00,18.00
2/21 18:56:7,24.81,38.00,18.00
2/21 18:56:8,25.46,38.00,18.00
2/21 18:56:10,26.10,38.00,18.00
2/21 18:56:11,24.81,38.00,18.00
2/21 18:56:12,25.46,38.00,18.00
2/21 18:56:13,25.14,38.00,18.00
2/21 18:56:14,24.81,38.00,18.00
2/21 18:56:16,25.46,38.00,18.00
2/21 18:56:17,25.46,38.00,18.00
2/21 18:56:18,24.49,38.00,18.00
2/21 18:56:19,25.46,38.00,18.00
2/21 18:56:20,25.78,38.00,18.00
2/21 18:56:21,25.14,38.00,18.00
2/21 18:56:23,24.49,38.00,18.00
2/21 18:56:24,25.46,38.00,18.00
2/21 18:56:25,25.14,38.00,18.00
2/21 18:56:26,24.81,38.00,18.00
2/21 18:56:27,25.78,38.00,18.00
2/21 18:56:28,25.46,38.00,18.00
2/21 18:56:31,25.14,38.00,18.00
2/21 18:56:32,25.14,38.00,18.00
2/21 18:56:33,25.78,38.00,18.00
2/21 18:56:34,25.46,38.00,18.00
2/21 18:56:35,25.46,38.00,18.00
2/21 18:56:37,25.46,38.00,18.00
2/21 18:56:38,24.49,38.00,18.00
2/21 18:56:39,24.81,38.00,18.00
2/21 18:56:40,26.10,38.00,18.00
2/21 18:56:41,25.46,38.00,18.00
2/21 18:56:43,25.78,38.00,18.00
2/21 18:56:44,24.81,38.00,18.00
2/21 18:56:45,25.46,38.00,18.00
2/21 18:56:46,25.14,38.00,18.00
2/21 18:56:47,25.78,38.00,18.00
2/21 18:56:48,24.81,38.00,18.00
2/21 18:56:50,24.81,38.00,18.00
2/21 18:56:51,24.81,38.00,18.00
2/21 18:56:52,25.46,38.00,18.00
2/21 18:56:53,24.81,38.00,18.00
2/21 18:56:54,24.81,38.00,18.00
2/21 18:56:55,25.46,38.00,18.00
2/21 18:56:57,25.14,38.00,18.00
2/21 18:56:58,25.14,38.00,18.00
2/21 18:56:59,25.78,38.00,18.00
2/21 18:57:0,25.14,38.00,18.00
2/21 18:57:1,25.14,38.00,18.00
2/21 18:57:2,25.46,38.00,18.00
